fakulte,degisken,n_3x3,medyan_3x3,ortalama_3x3,ss_3x3,sira_3x3,n_5x5,medyan_5x5,ortalama_5x5,ss_5x5,sira_5x5,medyan_farki,ortalama_farki,sira_farki
Guzel Sanatlar,glcm_contrast,209,61.95039682539682,86.23440704032808,60.501616594598325,1,209,103.59477272727274,115.96192257503262,57.413685093468565,1,41.64437590187592,29.727515534704537,0
Turizm,glcm_contrast,514,65.08432539682539,107.99663586251621,95.95160506717286,2,514,109.1717045454545,116.3484365051291,67.64362413724353,2,44.08737914862911,8.351800642612886,0
Hukuk,glcm_contrast,308,126.90823412698413,144.78728934755722,77.68115108012667,3,308,135.87965909090906,144.16351387249114,54.34248828966972,3,8.971424963924932,-0.6237754750660827,0
Fen Edebiyat,glcm_contrast,273,142.13392857142856,158.33124382231526,82.53200629846474,4,273,156.77249999999992,167.17311688311688,70.63193925693557,4,14.638571428571368,8.841873060801618,0
Muhendislik,glcm_contrast,714,220.14434523809524,231.4418503512516,101.53989621680066,5,714,232.86772727272722,229.17452953908833,69.94660492315836,5,12.723382034631982,-2.2673208121632626,0
Mimarlik,glcm_contrast,216,238.25744047619048,243.96052873309816,67.60494514582159,6,216,247.56022727272727,249.0806271043771,41.030011211908814,6,9.302786796536793,5.120098371278942,0
Isletme,glcm_contrast,162,285.52033730158735,290.69996203213793,81.05903564871713,7,162,282.23556818181817,284.75003928170594,32.603904921371786,8,-3.28476911976918,-5.949922750431995,1
Denizcilik,glcm_contrast,69,308.81051587301596,298.20955544053373,66.18793854024781,8,69,271.2277272727273,267.6814953886693,26.10757349967217,7,-37.582788600288666,-30.52806005186443,-1
Denizcilik,glcm_homogeneity,69,0.07831893078163879,0.07772621532077925,0.0130223453110615,1,69,0.08347846640488117,0.08347607887695536,0.010066770235611585,1,0.005159535623242381,0.005749863556176113,0
Isletme,glcm_homogeneity,162,0.09067829438437572,0.08972868583443493,0.019356409885980676,2,162,0.08802449583183883,0.08763972552003504,0.006110022810318894,2,-0.00265379855253689,-0.002088960314399882,0
Mimarlik,glcm_homogeneity,216,0.0931708915254616,0.09505827696423859,0.0199531201065954,3,216,0.09774402153325504,0.09660537329255411,0.012457137439158323,3,0.004573130007793441,0.0015470963283155253,0
Muhendislik,glcm_homogeneity,714,0.108690079502291,0.10870384332562537,0.03036535203489709,4,714,0.11223500184848988,0.1106313805528378,0.019863314998843824,5,0.003544922346198881,0.0019275372272124364,1
Fen Edebiyat,glcm_homogeneity,273,0.11132963444657128,0.11913757700819128,0.038940120706971434,5,273,0.11043121872652568,0.11820602653200578,0.029631569811117,4,-8.984157200455922e-4,-9.31550476185497e-4,-1
Hukuk,glcm_homogeneity,308,0.1527674669309969,0.15964788206493422,0.05166847231910827,6,308,0.15959717396570589,0.15837767349024814,0.03929680816801073,6,0.006829707034708976,-0.0012702085746860714,0
Guzel Sanatlar,glcm_homogeneity,209,0.16893563329684422,0.16721708808808267,0.03409625933027003,7,209,0.16550401172482818,0.15870244953408438,0.023741393270872078,7,-0.0034316215720160415,-0.008514638553998283,0
Turizm,glcm_homogeneity,514,0.20699599120314133,0.21240287310426087,0.07439603076451805,8,514,0.2104985796520759,0.21061301314092798,0.04519729059267625,8,0.003502588448934585,-0.0017898599633328904,0
